#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
1,Paul Skenes,PIT,9,5,2.82,21,21,0,0,,126,503,99,43,40,11,32,,5,149,0.296
2,Cristopher Sánchez,PHI,9,5,3.13,21,21,0,0,,133,546,120,50,46,11,34,,4,134,0.245
3,Tarik Skubal,DET,7,4,2.73,16,16,0,0,,98,384,76,32,30,9,20,,3,116,0.302
4,Logan Webb,SFG,9,7,3.36,20,20,0,0,,128,531,124,52,48,10,31,,4,120,0.226
5,Chris Sale,ATL,9,5,3.23,19,19,0,0,,116,471,96,45,41,12,32,,7,141,0.299
6,Jesús Luzardo,PHI,9,7,3.56,21,21,0,0,,127,521,109,55,50,15,38,,4,142,0.273
7,Garrett Crochet,BOS,8,5,3.2,17,17,0,0,,104,419,86,40,37,11,28,,3,125,0.298
8,Jacob deGrom,TEX,7,5,3.38,19,19,0,0,,112,445,91,46,42,14,26,,3,128,0.288
9,Zack Wheeler,PHI,8,5,3.31,19,19,0,0,,117,473,96,47,43,13,33,,5,134,0.283
10,Dylan Cease,TOR,7,6,3.59,19,19,0,0,,110,456,90,48,44,12,43,,3,133,0.292
11,Yoshinobu Yamamoto,LAD,8,4,3.33,17,17,0,0,,103,417,85,41,38,10,30,,3,110,0.264
12,Kevin Gausman,TOR,8,7,3.9,21,21,0,0,,127,522,115,60,55,16,36,,3,124,0.238
13,Framber Valdez,DET,8,7,3.65,20,20,0,0,,126,532,115,56,51,11,43,,6,115,0.216
14,Ranger Suarez,BOS,8,6,3.7,19,19,0,0,,116,486,111,52,48,12,34,,4,104,0.214
15,Drew Rasmussen,TBR,7,6,3.59,21,21,0,0,,111,453,98,48,44,12,28,,4,104,0.23
16,Hunter Brown,HOU,7,5,3.43,18,18,0,0,,105,435,88,44,40,11,36,,4,117,0.269
17,Sonny Gray,BOS,8,6,3.91,19,19,0,0,,112,465,106,53,49,14,30,,4,114,0.245
18,Shohei Ohtani,LAD,6,4,3.25,16,16,0,0,,87,350,68,34,31,10,27,,4,102,0.291
19,George Kirby,SEA,8,6,3.7,20,20,0,0,,119,485,110,53,49,14,24,,5,112,0.231
20,Nathan Eovaldi,TEX,8,6,3.74,19,19,0,0,,114,469,103,52,48,14,29,,5,110,0.235
21,Bryan Woo,SEA,9,6,3.55,20,20,0,0,,122,490,103,52,48,17,25,,5,119,0.243
22,Logan Gilbert,SEA,7,6,3.56,19,19,0,0,,111,448,94,48,44,15,25,,4,122,0.272
23,Joe Ryan,MIN,7,6,3.83,19,19,0,0,,109,444,95,50,46,16,26,,5,118,0.266
24,Gerrit Cole,NYY,8,6,4.04,20,20,0,0,,121,503,110,59,54,18,37,,4,120,0.239
25,José Soriano,LAA,7,7,3.69,20,20,0,0,,116,496,101,52,48,10,50,,6,114,0.23
26,Chase Burns,CIN,5,5,3.56,21,16,0,0,,90,367,75,38,35,12,29,,2,105,0.286
27,Nolan McLean,NYM,8,6,3.56,19,19,0,0,,113,474,96,49,45,11,42,,6,118,0.249
28,Shane McClanahan,TBR,7,6,3.73,19,19,0,0,,105,434,92,48,44,13,35,,3,110,0.253
29,Freddy Peralta,NYM,8,6,3.79,20,20,0,0,,115,481,95,53,49,15,44,,5,128,0.266
30,Cole Ragans,KCR,5,5,3.69,15,15,0,0,,85,351,69,38,35,10,33,,3,105,0.299
31,Kyle Bradish,BAL,6,6,3.82,19,19,0,0,,104,438,92,48,44,12,38,,5,110,0.251
32,Max Fried,NYY,7,4,3.36,14,14,0,0,,86,355,75,35,32,8,26,,3,80,0.225
33,Aaron Nola,PHI,7,7,4.18,20,20,0,0,,120,500,114,60,55,18,34,,4,119,0.238
34,Braxton Ashcraft,PIT,5,5,3.76,23,18,0,0,,100,422,94,45,42,10,33,,4,94,0.223
35,Tyler Glasnow,LAD,5,3,3.6,14,14,0,0,,81,329,63,35,32,9,30,,2,97,0.295
36,Mike King,SDP,7,6,3.76,19,19,0,0,,110,464,96,50,46,14,41,,5,115,0.248
36,Michael King,SDP,7,6,3.76,19,19,0,0,,110,464,96,50,46,14,41,,5,115,0.248
37,Sandy Alcantara,MIA,7,8,4.21,20,20,0,0,,124,524,121,63,58,14,37,,5,102,0.195
38,Casey Mize,DET,7,6,4.05,19,19,0,0,,104,437,101,51,47,14,29,,4,94,0.215
39,Spencer Strider,ATL,7,6,3.99,18,18,0,0,,105,439,90,50,46,14,40,,4,121,0.276
40,Tanner Bibee,CLE,7,7,4.01,20,20,0,0,,117,491,109,57,52,16,36,,5,109,0.222
41,MacKenzie Gore,TEX,6,6,3.96,17,17,0,0,,96,405,84,46,42,12,38,,4,109,0.269
42,Trevor Rogers,BAL,6,6,4.08,18,18,0,0,,103,435,98,51,47,12,34,,4,89,0.205
43,Cam Schlittler,NYY,6,5,3.72,16,16,0,0,,90,375,78,40,37,10,33,,4,92,0.245
44,Reid Detmers,LAA,5,6,4.17,25,17,0,0,,100,423,91,51,47,13,35,,5,109,0.258
45,Mason Miller,SDP,2,1,2.29,45,0,22,1,,45,175,26,12,11,4,17,,2,71,0.406
46,Griffin Jax,TBR,4,5,3.37,25,13,0,0,,75,305,61,30,28,8,24,,3,91,0.298
47,Nick Lodolo,CIN,6,6,4.02,18,18,0,0,,105,439,97,51,47,15,28,,9,105,0.239
48,Matthew Boyd,CHC,7,5,3.81,17,17,0,0,,97,401,88,45,41,12,28,,4,93,0.232
49,Parker Messick,CLE,6,5,3.85,18,18,0,0,,100,421,93,46,43,12,33,,5,94,0.223
50,Jacob Misiorowski,MIL,7,6,3.85,24,19,0,0,,104,436,81,48,44,13,47,,7,126,0.289
51,Carlos Rodón,NYY,9,7,4.09,20,20,0,0,,120,502,103,59,55,18,45,,5,126,0.251
52,Eury Pérez,MIA,5,6,4.02,17,17,0,0,,92,379,77,44,41,13,32,,3,101,0.266
53,Trey Yesavage,TOR,6,5,3.98,22,18,0,0,,97,411,82,47,43,12,42,,3,105,0.255
54,Hunter Greene,CIN,5,4,3.74,13,13,0,0,,76,310,61,34,31,11,25,,4,90,0.29
